Character,Line
jerry," You know, why we're here?  To be out, this is out...and out is one of the single 
              most enjoyable experiences of life. People...did you ever hear people 
              talking about ""We should go out""? This is what they're 
              talking about...this whole thing, we're all out now, no one is home. 
              Not one person here is home, we're all out! There are people tryin' 
              to find us, they don't know where we are.  
              ""Did you ring?, I can't find him.""  ""Where did he go?""  
              ""He didn't tell me where he was going"". He must have gone 
              out. You wanna go out you get ready, you pick out the clothes, 
              right? You take the shower, you get all ready, get the cash, get 
              your friends, the car, the spot, the reservation...There you're 
              staring around, whatta you do? You go ""We gotta be getting 
              back"". Once you're out, you wanna get back! You wanna go to 
              sleep, you wanna get up, you wanna go out again tomorrow, right? 
              Where ever you are in life, it's my feeling, you've gotta go."
,
jerry," Seems to me, that button is in the worst possible spot. 
               The second button literally makes 
              or breaks the shirt, look at it it's too high! It's in no-man's-land, 
              you look like you live with your mother."
george, Are you through? 
jerry," You do of course try on, when you buy?"
george," Yes, it was purple, I liked it, I don't actually recall 
              considering the buttons."
jerry," Oh, you don't recall?"
george,"  Uh, no, not at 
              this time."
jerry," Well, senator, I just like to know, what you knew and when 
              you knew it. "
waitress," Mister Seinfeld.  Mister 
              Costanza. "
george," Are, are you sure this is decaf? Where's the orange indicator?"
waitress," It's missing, I have to do it in my head decaf left, 
              regular right, decaf left, regular right...it's very challenging 
              work. "
jerry," Can you relax, it's a cup of coffee, Claire is a professional 
              waitress."
waitress," Trust me George no one has any interest in seeing you 
              on caffeine. "
george, How come you're not doin' the second show tomorrow?
jerry," Well, there's this uh, woman might be comin' in."
george," Wait a second, wait a second, what coming in, what woman 
              is coming in?"
jerry," I told you about Laura, the girl I met in Michigan?"
george," No, you didn't!"
jerry," I thought I told you about it, yes, she teaches political 
              science? I met her the night I did the show in Lansing... There's no milk in here, what..."
george," Wait wait wait, what is she,  what is she like?"
jerry," Oh, she's really great. I mean, she's got like a real warmth 
              about her and she's really bright and really pretty and uh...the 
              conversation though, I mean, it was...talking with her is like talking 
              with you, but, ya know, obviously much better."
george,"  So, ya know, what, what happened?"
jerry," Oh, nothing happened, ya know, but is was great."
george," Oh, nothing happened, but it was..."
jerry, Yeah.
george, This is great!
jerry, Yeah.
george," So, ya know, she calls and says she wants to go out with 
              you tomorrow night? God bless! Devil you!"
jerry," Yeah, well...not exactly. I mean, she said, you know, she 
              called this morning and said she had to come in for a seminar and 
              maybe we'll get together. "
george,"  Ho ho ho, ""Had to""? ""Had 
              to come in""?"
jerry," Yeah, but..."
george," ""Had to come in"" and ""maybe we'll get together""? 
              ""Had to"" and ""Maybe""?"
jerry, Yeah!
george," No...no...no, I hate to tell you this you're not gonna 
              see this woman."
jerry,"  What, are you serious...why, why did she call?"
george," How do I know, maybe, ya know, maybe she wanted to be polite. 
            "
jerry, To be polite? You are insane!
george," All right, all right, I didn't want to tell you this, you 
              wanna know why she called you?"
jerry, Yes!
george," You're a back-up, you're a second-line, a just-in-case, 
              a B-plan of contingency!"
jerry," Oh, I get it, this is about the button."
george,"  passes the table; George stops her 
              and writes something on his note-block] Claire, Claire, you're a 
              woman, right?"
claire," What gave it away, George?"
george," Uhm...I'd like to ask you...ask you to analyze a hypothetical 
              phone call, ya know, from a female point of view."
jerry,"  Oh, come on now, what are you asking her? Now, 
              how is she gonna know?"
george,"  Now, a woman calls me, all right? She says 
              she has to  come 
              to New York on business..."
jerry, Oh you are beautiful!  
george," and, and maybe  she'll see me when 
              she gets there, does this woman intend to spend time with me?"
claire," I'd have to say uuhh, no. "
george,  So why did she call?
claire, To be polite.
george," To be polite, I rest my case."
jerry," Good. Did you have fun? You have no idea, what you're talking 
              about, now, come on, come with me , I, I gotta go get 
              my stuff out of the dryer anyway."
george, I'm not gonna watch you do laundry.
jerry," Oh, come on, be a ""come-with-guy""."
george," Come on, I'm tired."
claire,"  Don't worry, I gave him a little caffeine he'll 
              perk up."
george,"  Right, 
              I knew I felt something...! "
,
george," Jerry? I have to tell ya somethin'...this is the dullest 
              moment I've ever experienced. "
jerry," Well, look at this guy! Look, he's got everything, he's 
              got detergents, sprays, fabric softeners; this is not his first 
              load."
george," I need a break, Jerry, ya know, I gotta get out of the 
              city, I feel so cramped..."
jerry, And you didn't even hear how she sounded.
george, What?!
jerry, Laura.
george," I can't believe  WE ALREADY DISCUSSED 
              THIS!"
jerry," Yeah, but how could you be so sure?"
george,"  'Cause it's signals, Jerry , it's signals! Don't you....all right. Did she even ask 
              you, what you were doin' tomorrow night, if you were busy?"
jerry, No.
george," She calls you today and she doesn't make a plan for tomorrow? 
              What is that? It's Saturday night!"
jerry, Yeah.
george," What is that? It's ridiculous!  
              You don't even know, what hotel she's staying at, you can't call 
              her. That's a signal, Jerry, that's a signal!  Signal!"
jerry, Maybe you're right.
george, Maybe I'm right? Of course I'm right.
jerry," This is insane. You know, I don't even know where she's 
              staying! She, she's not gonna call me, this is unbelievable."
george,"  I know, I know. 
               Listen, your stuff has to be done by know, why don't 
              you just see if it's dried?"
jerry," No no no, don't interrupt the cycle. The machine is working, 
              it, it knows what it's doing, just let it finish."
george," You're gonna ""overdry"" it."
jerry," You, you can't ""overdry""."
george, Why not?
jerry," Same as you can't ""overwet"".  
              You see, once something is wet, it's wet. Same thing with dead 
              like once you die you're dead, right? Let's say you drop dead and 
              I shoot you you're not gonna die again, you're already dead. You 
              can't ""overdie"", you can't ""overdry""."
george,  Any questions?
jerry, How could she not tell me where she was staying? 
george,"  Look at that they're done! It's 
              a miracle! "
,
jerry," ""Laundry-day"" is the only exciting day in the 
              live of clothes. It is...no, think about it the washing machine 
              is the nightclub of clothes. Ya know, it's dark, there's bubbles 
              happening, they're all kind a dancing around in there...shirt grabs 
              the underwear ""C'mon babe, let's gather"". You come by, 
<!-- BeginAd01 --><!-- EndAd -->
              you open up the lid and they'll ...Socks are the most amazing article of clothing. 
              They hate their lives, they're in the shoes with stinky feet, the 
              boring drawers...the dryer is their only chance to escape and they 
              all know it. They knew a escape from the dryer. They plan it in 
              the hamper, the night before  ""Tomorrow, the 
              dryer, I'm goin'...you wait here!"" The dryer-door swings open 
              and the sock is waiting up against the side wall. They hope you 
              don't see him and then he goes down the road . They got buttons sowed on their faces 
              join the puppet show...So they're showing me on television the detergent 
              for getting out blood-stains...Is this a violent image to anybody? 
              Blood-stains? I mean, I, come on, you got a T-shirt with blood-stains 
              all over it, maybe laundry isn't your biggest problem right now...Maybe 
              you oughtta get the harpoon out your chest first."
,
jerry,"  If you know 
              what happened in the Mets-game, don't say anything, I taped it, 
              hello... Yeah, no, I'm sorry, you have the wrong number...Yeah, 
              no  Yeah? "
kramer,  Are you up?
jerry,"  Yeah... Yeah, people do move! 
              Have you ever seen the big trucks out on the street? Yeah, no problem 
              ."
kramer," Boy, the Mets blew it tonight, huh? "
jerry,"  Ooohhhh, what are you doing? Kramer, it's a tape! 
               I taped the game, 
              it's one o'clock in the morning! I avoided human contact all night 
              to watch this."
kramer," Hey, I'm sorry, I...ya know, I, I thought you knew... You got any meat?"
jerry,"  Meat? I don't, I don't know, go...hunt! 
               Well what, 
              what happened in the game anyway?"
kramer,"  What happened? 
              Well, they STUNK, that's what happened!  Ya know, I almost wound up going to 
              that game."
jerry,"  Yeah you almost went to the game. You haven't 
              been out of the building in ten years!"
kramer," Yeah.  
              Are you done with this?"
jerry, No.
kramer,"  When you're done, let me know."
jerry," Yeah, yeah...you can have it tomorrow."
kramer, I thought I wasn't allowed to be in here this weekend.
jerry," No, it's OK now, that, that girl is not comin' uh, I, I 
              misread the whole thing."
kramer, You want me to talk to her?
jerry, I don't think so.
kramer," Oh, I can be very persuasive. Do you know that I was almost... 
              a lawyer. "
jerry," That close, huh?"
kramer, You better believe it. 
jerry," Hello...Oh, hi, Laura."
kramer, Give me it...let me talk to her .
jerry,"  No believe me, I'm always up 
              at this hour. How are you?...great...sure...What time does the plane 
              get in?...I got my friend George to take me......"
kramer, A SLIDE!...Wow!
jerry," ...No, it's, it's just my neighbour...uhm...yeah, I got 
              it  ten-fifteen...No, 
              don't be silly, go ahead and ask...Yeah, sure...OK, great, no no, 
              it's no trouble at all...I'll see you tomorrow...great, bye.  I, I don't believe it...That, that was 
              her. She wants to stay here!"
,
jerry," If my father was moving this he'd had to have a cigarette 
              in his mouth the whole way.  Have you got your end?...Your end's got to come down 
              first, easy now, drop it down...drop it down, your end's got to 
              come down."
george," Ya know, I can't believe you're bringin' in an extra bed 
              for woman, that wants to sleep with you. Why don't you bring in 
              an extra guy too? "
jerry,"  Look, it's a very awkward situation, 
              I, I don't wanna be presumptuous."
george," All right, all right, one more time, one more time! What 
              was the EXACT phrasing of the request?"
jerry," All right, she said she couldn't find a decent hotel- room..."
george, A decent hotel-room...
jerry," Yeah, a decent hotel-room, would it be terribly inconvenient 
              if she stayed at my place."
george," You can't be serious. This is New York city there must 
              be eleven million decent hotel-rooms! Whatta ya need? A flag?  This is the signal, Jerry, this is the signal!"
jerry,"  This is the signal. Thank you, mister Signal, 
              where were you yesterday?"
george," I think I was affected by the caffeine.  HO, HO, HO, 
              GOOD DOG "
kramer,"  He really 
              likes you, George."
george,"  Well, that's flattering. "
kramer,"  Oh, he's getting' a drink of water.  Is this for that girl?"
jerry, Yeah.
kramer, Why even give her an option?
jerry," This is a person I like, it's not ""How to score on 
              spring break""."
george," Right, can we go? 'Cause I'm double-parked, I'm gonna get 
              a ticket."
jerry," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the 
              bathroom."
george, So what? That's good.
jerry," Now, how could that be good?"
george," Because filth is good...Whatta you think rock stars have 
              sponges and ammonia lyin' around the bathroom? They, they have a 
              woman comin' over ""I've gotta tidy up? Yeah right, in these 
              matters you never do what your instincts tell you. Always, ALWAYS 
              do the opposite."
jerry, This is how you operate?
